H%time;field.header.seq;field.header.stamp;field.header.frame_id;field.child_frame_id;field.pose.pose.position.x;field.pose.pose.position.y;field.pose.pose.position.z;field.pose.pose.orientation.x;field.pose.pose.orientation.y;field.pose.pose.orientation.z;field.pose.pose.orientation.w;field.pose.covariance0;field.pose.covariance1;field.pose.covariance2;field.pose.covariance3;field.pose.covariance4;field.pose.covariance5;field.pose.covariance6;field.pose.covariance7;field.pose.covariance8;field.pose.covariance9;field.pose.covariance10;field.pose.covariance11;field.pose.covariance12;field.pose.covariance13;field.pose.covariance14;field.pose.covariance15;field.pose.covariance16;field.pose.covariance17;field.pose.covariance18;field.pose.covariance19;field.pose.covariance20;field.pose.covariance21;field.pose.covariance22;field.pose.covariance23;field.pose.covariance24;field.pose.covariance25;field.pose.covariance26;field.pose.covariance27;field.pose.covariance28;field.pose.covariance29;field.pose.covariance30;field.pose.covariance31;field.pose.covariance32;field.pose.covariance33;field.pose.covariance34;field.pose.covariance35;field.twist.twist.linear.x;field.twist.twist.linear.y;field.twist.twist.linear.z;field.twist.twist.angular.x;field.twist.twist.angular.y;field.twist.twist.angular.z;field.twist.covariance0;field.twist.covariance1;field.twist.covariance2;field.twist.covariance3;field.twist.covariance4;field.twist.covariance5;field.twist.covariance6;field.twist.covariance7;field.twist.covariance8;field.twist.covariance9;field.twist.covariance10;field.twist.covariance11;field.twist.covariance12;field.twist.covariance13;field.twist.covariance14;field.twist.covariance15;field.twist.covariance16;field.twist.covariance17;field.twist.covariance18;field.twist.covariance19;field.twist.covariance20;field.twist.covariance21;field.twist.covariance22;field.twist.covariance23;field.twist.covariance24;field.twist.covariance25;field.twist.covariance26;field.twist.covariance27;field.twist.covariance28;field.twist.covariance29;field.twist.covariance30;field.twist.covariance31;field.twist.covariance32;field.twist.covariance33;field.twist.covariance34;field.twist.covariance35
58212000000;1;58212000000;map;base_link;1.72339583603;-0.00889040902804;-0.000770956899421;-6.02232753365e-15;-3.84004083297e-17;0.0017858307929;0.999998405403;6.25262098905e-05;1.82481630702e-09;8.18860193498e-10;7.49513125528e-18;2.2444441623e-15;1.04958014572e-15;1.82481630702e-09;3.94688086714e-05;-2.56852951645e-07;-2.2973262733e-15;7.58832877528e-18;-7.66927771911e-18;8.18860193498e-10;-2.56852951645e-07;7.37743935872e-08;-1.09108773628e-17;2.12045107404e-20;-6.29040381693e-22;7.49513125528e-18;-2.2973262733e-15;-1.09108773628e-17;1.12604144644e-07;4.83859238216e-23;4.98946738273e-21;2.2444441623e-15;7.58832877528e-18;2.12045107404e-20;4.70307496319e-23;1.12604144644e-07;-1.07627538891e-23;1.04958014572e-15;-7.66927771911e-18;-6.29040381693e-22;4.98949978813e-21;6.84040651283e-23;6.25261645593e-05;-1.80083872697e-08;3.03877772569e-06;6.03567976105e-07;5.44252670223e-17;-4.51474406721e-20;2.02532695617e-06;2.65268306362e-05;-1.64021239247e-11;-3.17358611208e-14;1.43897165807e-22;1.08561608632e-19;1.82260495883e-19;-1.64021239247e-11;2.65215269943e-05;-2.65911894213e-11;-1.79169283718e-19;8.18230222234e-22;-2.7728778831e-21;-3.17358611208e-14;-2.65911894213e-11;2.43262796666e-07;-3.56668392135e-22;1.82438027282e-24;-4.78470361454e-24;1.43897165807e-22;-1.79169283718e-19;-3.56668392135e-22;2.43261799526e-07;3.50423355291e-28;1.78443907768e-25;1.08561608632e-19;8.18230222234e-22;1.82438027282e-24;3.43149012928e-28;2.43261799526e-07;-1.41956157599e-27;1.82260495883e-19;-2.7728778831e-21;-4.78470361454e-24;1.78456810245e-25;2.04085969497e-27;2.63928515415e-05
58341000000;2;58341000000;map;base_link;1.72358171989;-0.00915612951453;-0.000776666401886;-3.01759213165e-11;-8.99738258979e-14;0.00181609772839;0.999998350893;2.9007251364e-05;8.9840596873e-10;2.79830156852e-10;-6.68254964683e-17;7.6226352504e-15;-2.43160697098e-11;8.9840596873e-10;1.836153324e-05;-1.28545856508e-07;-2.03125350358e-14;1.90813376262e-18;-1.33642959934e-13;2.79830156852e-10;-1.28545856508e-07;5.18481286091e-08;5.19646815538e-14;1.01905528945e-16;2.73761496739e-16;-6.68254964683e-17;-2.03125350358e-14;5.19646815538e-14;7.95557839119e-08;-1.60060449593e-24;2.39951209771e-21;7.6226352504e-15;1.90813376262e-18;1.01905528945e-16;-2.24315527046e-24;7.95557839119e-08;9.22311269813e-21;-2.43160697098e-11;-1.33642959934e-13;2.73761496739e-16;2.39952713605e-21;9.25837842138e-21;2.90007548754e-05;2.16108343154e-05;-6.51255371967e-05;-5.20156212242e-07;1.08780059932e-13;-2.63843396305e-16;8.9417448447e-06;4.02234196999e-05;-1.22384244471e-10;-2.69009885872e-13;5.45443589421e-20;2.09865879404e-19;-6.84235699707e-16;-1.22384244471e-10;4.01860177057e-05;-9.06534621037e-11;1.78530099234e-17;-2.76988422502e-20;-4.24707065813e-18;-2.69009885872e-13;-9.06534621037e-11;3.25059728799e-07;3.26223302226e-19;-5.27134609395e-22;-7.54010054675e-21;5.45443589421e-20;1.78530099234e-17;3.26223302226e-19;3.25058445311e-07;7.68568217542e-28;4.32435142817e-25;2.09865879404e-19;-2.76988422502e-20;-5.27134609395e-22;7.65186441552e-28;3.25058445311e-07;-1.26325508875e-22;-6.84235699707e-16;-4.24707065813e-18;-7.54010054675e-21;4.32464291239e-25;-1.26318365374e-22;3.92546097113e-05
58341000000;3;58341000000;map;base_link;1.72358171989;-0.00915612952221;-0.00073898259444;-1.16117504026e-11;-2.15544346312e-14;0.00181609772839;0.999998350893;1.4503625682e-05;4.49202966191e-10;1.39915219037e-10;-3.34128282665e-17;3.81131996479e-15;-1.21580348549e-11;4.49202966191e-10;9.18076661755e-06;-6.42729092942e-08;-1.01562817822e-14;9.54051764723e-19;-6.68214799022e-14;1.39915219037e-10;-6.42729092942e-08;4.89260174e-08;4.59308925257e-14;9.01564919247e-17;1.36880248888e-16;-3.34128282665e-17;-1.01562817822e-14;4.59308925257e-14;7.36929226758e-08;-5.02898792566e-24;1.19975649746e-21;3.81131996479e-15;9.54051764723e-19;9.01564919247e-17;-5.58381569119e-24;7.36929226758e-08;4.61156179084e-21;-1.21580348549e-11;-6.68214799022e-14;1.36880248888e-16;1.19976401663e-21;4.62919465331e-21;1.45003774377e-05;2.16312474816e-05;-5.04874923792e-05;-1.34629957597e-07;2.44510520583e-14;-1.22196844798e-16;8.94174488131e-06;4.00233810891e-05;-5.10235785286e-10;-1.46888327576e-13;3.59874901965e-20;1.11292404277e-18;-1.83744095615e-13;-5.10235785286e-10;3.98738517891e-05;-6.70768754065e-11;1.49891005402e-17;-1.85189437544e-20;-9.41240744154e-16;-1.46888327576e-13;-6.70768754065e-11;2.45316922616e-07;2.67033985026e-19;-4.31056045226e-22;-8.41594206537e-20;3.59874901965e-20;1.49891005402e-17;2.67033985026e-19;2.45316184699e-07;4.69263272907e-28;4.85805320436e-25;1.11292404277e-18;-1.85189437544e-20;-4.31056045226e-22;4.6637068601e-28;2.45316184699e-07;-1.15254304158e-22;-1.83744095615e-13;-9.41240744154e-16;-8.41594206537e-20;4.85833458267e-25;-1.1524734763e-22;3.9063669158e-05
58341000000;4;58341000000;map;base_link;1.72358171989;-0.0091561295205;-0.000704801257619;3.13403276455e-12;3.26703851569e-14;0.00181609772839;0.999998350893;7.251812841e-06;2.24601480342e-10;6.99576501367e-11;-1.67064383289e-17;1.90566064265e-15;-6.07901742744e-12;2.24601480342e-10;4.5903833084e-06;-3.21364491701e-08;-5.07814513372e-15;4.770211911e-19;-3.34107399413e-14;6.99576501367e-11;-3.21364491701e-08;4.64587127099e-08;4.09177680086e-14;8.03588987782e-17;6.84399801598e-17;-1.67064383289e-17;-5.07814513372e-15;4.09177680086e-14;6.86349289412e-08;-7.31784486658e-24;5.99878381047e-22;1.90566064265e-15;4.770211911e-19;8.03588987782e-17;-7.80173944281e-24;6.86349289413e-08;2.30578243117e-21;-6.07901742744e-12;-3.34107399413e-14;6.84399801598e-17;5.99882140632e-22;2.31459886264e-21;7.25018871885e-06;2.16497635316e-05;-3.72098551361e-05;7.97562556763e-08;-3.77505244331e-14;-1.68340826592e-17;8.94174491451e-06;3.99233617833e-05;-7.04373289759e-10;-9.84124730029e-14;2.94662930389e-20;1.37602921871e-18;-2.75274026101e-13;-7.04373289759e-10;3.97176169964e-05;-5.5474480657e-11;1.42751915828e-17;-1.60298741682e-20;-1.41011725925e-15;-9.84124730029e-14;-5.5474480657e-11;1.96991491629e-07;2.23657498988e-19;-3.60748537933e-22;-1.04458322378e-19;2.94662930389e-20;1.42751915828e-17;2.23657498988e-19;1.96991015206e-07;3.34126923006e-28;4.86773051548e-25;1.37602921871e-18;-1.60298741682e-20;-3.60748537933e-22;3.31736572975e-28;1.96991015206e-07;-1.06905714317e-22;-2.75274026101e-13;-1.41011725925e-15;-1.04458322378e-19;4.8679969198e-25;-1.06899106361e-22;3.89681988813e-05
58341000000;5;58341000000;map;base_link;1.72358171989;-0.00915612951868;-0.000673648996253;1.49367146446e-11;7.59633678863e-14;0.00181609772839;0.999998350893;3.6259064205e-06;1.12300739709e-10;3.49788380876e-11;-8.35322722342e-18;9.5283052857e-16;-3.03950871372e-12;1.12300739709e-10;2.29519165414e-06;-1.60682228295e-08;-2.53907396116e-15;2.38509000223e-19;-1.6705369969e-14;3.49788380876e-11;-1.60682228295e-08;4.4302634864e-08;3.66994165814e-14;7.20960225797e-17;3.42199438327e-17;-8.35322722342e-18;-2.53907396116e-15;3.66994165814e-14;6.42266851419e-08;-8.82165913698e-24;2.99939233706e-22;9.5283052857e-16;2.38509000223e-19;7.20960225797e-17;-9.24738836091e-24;6.42266851419e-08;1.15289169763e-21;-3.03950871372e-12;-1.6705369969e-14;3.42199438327e-17;2.99941113498e-22;1.15729991344e-21;3.62509435943e-06;2.16666388e-05;-2.51088026937e-05;2.09670373273e-07;-8.52881787677e-14;6.43285266516e-17;8.94174494477e-06;3.98733521302e-05;-8.01636140491e-10;-7.63486786324e-14;2.69678661418e-20;1.42420788882e-18;-3.2103899183e-13;-8.01636140491e-10;3.96393604136e-05;-4.86631717722e-11;1.41793247644e-17;-1.56225522872e-20;-1.64490356446e-15;-7.63486786324e-14;-4.86631717722e-11;1.64572130534e-07;1.91005956849e-19;-3.07897615721e-22;-1.06785698489e-19;2.69678661418e-20;1.41793247644e-17;1.91005956849e-19;1.64571799516e-07;2.60674272581e-28;4.71431174246e-25;1.42420788882e-18;-1.56225522872e-20;-3.07897615721e-22;2.58684546774e-28;1.64571799516e-07;-1.00002520203e-22;-3.2103899183e-13;-1.64490356446e-15;-1.06785698489e-19;4.71456286937e-25;-9.99962825697e-23;3.8920463743e-05
58458000000;6;58458000000;map;base_link;1.72362897613;-0.00916121053036;-0.000578385584879;-2.17452082308e-11;-9.76965633972e-11;0.00181934608594;0.999998344989;2.40086169046e-06;5.67071681562e-11;1.51682593728e-11;1.95277216802e-18;2.05730599256e-15;1.48566059264e-12;5.67071681562e-11;1.73952170105e-06;-6.61241765196e-09;-3.04803686473e-15;1.09629529038e-15;4.63456557643e-12;1.51682593728e-11;-6.61241765196e-09;3.876626166e-08;-4.93695390519e-14;-1.13526041026e-13;-2.98063125725e-15;1.95277216802e-18;-3.04803686473e-15;-4.93695390519e-14;5.24892447698e-08;-2.08087351332e-20;1.48208946389e-19;2.05730599256e-15;1.09629529038e-15;-1.13526041026e-13;-2.08091469698e-20;5.24892447698e-08;-2.26951110994e-17;1.48566059264e-12;4.63456557643e-12;-2.98063125725e-15;1.48208946229e-19;-2.26951095277e-17;2.3766066019e-06;0.000114622807172;2.52475972664e-05;7.00968135054e-07;4.43249913465e-14;2.50868313794e-13;1.97779628867e-05;5.31576291791e-05;-8.87698394786e-10;-7.56899562428e-14;5.86572099256e-21;8.81504425983e-19;-3.52490152645e-13;-8.87698394786e-10;5.28949395424e-05;-5.532330206e-11;7.52247574777e-19;-1.95957290539e-17;-9.33268526801e-15;-7.56899562428e-14;-5.532330206e-11;3.24207733446e-07;-8.75195395112e-20;-2.17571885331e-19;-3.25797667123e-18;5.86572099256e-21;7.52247574777e-19;-8.75195395112e-20;3.24206372635e-07;-3.25225406856e-26;-6.95852533623e-22;8.81504425983e-19;-1.95957290539e-17;-2.17571885331e-19;-3.25310425528e-26;3.24206372635e-07;2.56171057485e-19;-3.52490152645e-13;-9.33268526801e-15;-3.25797667123e-18;-6.9585253177e-22;2.56171060889e-19;5.05291393444e-05
58458000000;7;58458000000;map;base_link;1.72362897613;-0.00916121052893;-0.000556813733733;-3.29860770401e-11;-1.2130045815e-10;0.00181934608594;0.999998344989;1.20043084523e-06;2.83535840928e-11;7.58412691706e-12;9.7638582237e-19;1.02865336486e-15;7.42830296321e-13;2.83535840928e-11;8.69760850522e-07;-3.3062082246e-09;-1.5240188769e-15;5.48148151291e-16;2.31728278819e-12;7.58412691706e-12;-3.3062082246e-09;3.73086472243e-08;-4.52545957428e-14;-1.04050838045e-13;-1.49031091206e-15;9.7638582237e-19;-1.5240188769e-15;-4.52545957428e-14;4.98714249441e-08;-2.32099554895e-20;7.41045214817e-20;1.02865336486e-15;5.48148151291e-16;-1.04050838045e-13;-2.32103282968e-20;4.98714249441e-08;-1.13475628813e-17;7.42830296321e-13;2.31728278819e-12;-1.49031091206e-15;7.41045214014e-20;-1.13475620955e-17;1.18830330095e-06;0.000114650369525;4.13109794103e-05;6.98568766815e-07;8.65366644075e-14;3.39508480866e-13;1.97779475245e-05;4.80051718186e-05;-7.61423538318e-09;-7.05176147163e-14;-8.13634697866e-21;4.10883009421e-18;2.50468227071e-12;-7.61423538318e-09;4.58474627705e-05;-4.58144341822e-11;-8.48230514359e-18;-2.14155932847e-17;1.25108801789e-11;-7.05176147163e-14;-4.58144341822e-11;2.44831386668e-07;-8.64271141194e-20;-2.09908219824e-19;2.19612768398e-17;-8.13634697866e-21;-8.48230514359e-18;-8.64271141194e-20;2.4483061926e-07;-4.48058038744e-26;-5.03657898028e-22;4.10883009421e-18;-2.14155932847e-17;-2.09908219824e-19;-4.48107013013e-26;2.4483061926e-07;1.928152972e-19;2.50468227071e-12;1.25108801789e-11;2.19612768398e-17;-5.03657879401e-22;1.92815302893e-19;4.58322552519e-05
58458000000;8;58458000000;map;base_link;1.72362897613;-0.00916121052839;-0.000536793394818;-4.23669790377e-11;-1.40831980824e-10;0.00181934608594;0.999998344989;6.00215422615e-07;1.41767920486e-11;3.79206264873e-12;4.88192802428e-19;5.14326788845e-16;3.7141514816e-13;1.41767920486e-11;4.34880425261e-07;-1.65310393645e-09;-7.62009559683e-16;2.74074238425e-16;1.15864139409e-12;3.79206264873e-12;-1.65310393645e-09;3.59612988366e-08;-4.16347909652e-14;-9.57216009624e-14;-7.45154076851e-16;4.88192802428e-19;-7.62009559683e-16;-4.16347909652e-14;4.75023563338e-08;-2.48276282455e-20;3.70522747482e-20;5.14326788845e-16;2.74074238425e-16;-9.57216009624e-14;-2.4827967317e-20;4.75023563337e-08;-5.67378355872e-18;3.7141514816e-13;1.15864139409e-12;-7.45154076851e-16;3.7052274708e-20;-5.67378316581e-18;5.94151650474e-07;0.000114675949527;5.62190422253e-05;6.87336208633e-07;1.18552876851e-13;4.05697932557e-13;1.97779332671e-05;4.54289431374e-05;-1.09780923638e-08;-6.69942073409e-14;-1.4422839855e-20;5.1183952515e-18;3.93326904519e-12;-1.09780923638e-08;4.2323381414e-05;-4.13272571316e-11;-1.24563003868e-17;-2.37004823712e-17;1.87713146125e-11;-6.69942073409e-14;-4.13272571316e-11;1.96678299542e-07;-8.15150350196e-20;-1.95660658628e-19;3.02268995855e-17;-1.4422839855e-20;-1.24563003868e-17;-8.15150350196e-20;1.96677810668e-07;-5.11393288066e-26;-4.27248747171e-22;5.1183952515e-18;-2.37004823712e-17;-1.95660658628e-19;-5.11425982082e-26;1.96677810668e-07;1.67397837457e-19;3.93326904519e-12;1.87713146125e-11;3.02268995855e-17;-4.27248723281e-22;1.67397843779e-19;4.34838132056e-05
58559000000;9;58559000000;map;base_link;1.72368603878;-0.00907888614614;-0.000538328330563;-1.14283945269e-10;1.41495430127e-11;0.00181055375854;0.999998360946;8.84210195393e-07;1.13397917446e-11;-2.85470995441e-12;8.26995898492e-18;2.59413889187e-15;-2.309446754e-12;1.13397917446e-11;7.63846818313e-07;2.25403713838e-09;2.63082511872e-15;-8.62991057736e-15;4.93887940289e-12;-2.85470995441e-12;2.25403713838e-09;3.16447441e-08;2.16990666444e-13;-4.70907489855e-13;3.60702319751e-15;8.26995898492e-18;2.63082511872e-15;2.16990666444e-13;4.1216871938e-08;4.65994185342e-19;-1.34353046985e-16;2.59413889187e-15;-8.62991057736e-15;-4.70907489855e-13;4.65994172861e-19;4.12168719371e-08;2.88439267334e-17;-2.309446754e-12;4.93887940289e-12;3.60702319751e-15;-1.34353046985e-16;2.88439264028e-17;8.45829776342e-07;0.000386589829755;0.000539418392946;-2.75828995769e-07;3.43973719398e-13;3.83991313784e-16;-9.25442471303e-05;5.62766431303e-05;-1.31229385942e-08;1.8291550711e-13;-1.39955309985e-19;5.69167014431e-18;4.7810822215e-12;-1.31229385942e-08;5.25640082811e-05;3.67345613703e-11;-3.99139437221e-17;3.10891960617e-17;2.20773338304e-11;1.8291550711e-13;3.67345613703e-11;3.2284948757e-07;6.69758318893e-19;-1.5304543166e-18;1.97537973667e-16;-1.39955309985e-19;-3.99139437221e-17;6.69758318893e-19;3.22848133415e-07;9.59505116731e-25;1.85360376687e-18;5.69167014431e-18;3.10891960617e-17;-1.5304543166e-18;9.59533915335e-25;3.22848133415e-07;-4.14021244228e-19;4.7810822215e-12;2.20773338304e-11;1.97537973667e-16;1.85360376686e-18;-4.14021245596e-19;5.23388000136e-05
58559000000;10;58559000000;map;base_link;1.72368603878;-0.009078886146;-0.000521818855159;-5.74241166152e-11;-9.94476868812e-11;0.00181055375854;0.999998360946;4.42105097697e-07;5.66989587492e-12;-1.42735474176e-12;4.13498119507e-18;1.29707007272e-15;-1.154723377e-12;5.66989587492e-12;3.81923409138e-07;1.12701687255e-09;1.31541526625e-15;-4.31496189071e-15;2.46943970128e-12;-1.42735474176e-12;1.12701687255e-09;3.06709893814e-08;2.02270168772e-13;-4.38957730923e-13;1.80349640102e-15;4.13498119507e-18;1.31541526625e-15;2.02270168772e-13;3.95851411426e-08;5.14554504359e-19;-6.71765865987e-17;1.29707007272e-15;-4.31496189071e-15;-4.38957730923e-13;5.14554492825e-19;3.95851411416e-08;1.44219796109e-17;-1.154723377e-12;2.46943970128e-12;1.80349640102e-15;-6.71765865988e-17;1.44219794456e-17;4.22914888171e-07;0.000386599168237;0.000545721357224;-2.66339830067e-08;1.4033752781e-13;4.29913154394e-13;-9.25442323479e-05;4.0842866033e-05;-1.30213361058e-08;4.80029184001e-14;1.30978449659e-20;1.87660260184e-17;-2.46841364862e-11;-1.30213361058e-08;3.71669625394e-05;-3.5710204047e-13;-2.01628641082e-17;-2.70848682502e-17;7.7170562291e-11;4.80029184001e-14;-3.5710204047e-13;2.44055982654e-07;6.29218624206e-19;-1.42243069515e-18;4.06546181019e-17;1.30978449659e-20;-2.01628641082e-17;6.29218624206e-19;2.44055209482e-07;1.29872665809e-24;7.21523749437e-19;1.87660260184e-17;-2.70848682502e-17;-1.42243069515e-18;1.29874188994e-24;2.44055209482e-07;-1.31936761522e-19;-2.46841364862e-11;7.7170562291e-11;4.06546181019e-17;7.21523749443e-19;-1.31936759578e-19;3.84249415946e-05
