%time;field.header.seq;field.header.stamp;field.header.frame_id;field.pose.pose.position.x;field.pose.pose.position.y;field.pose.pose.position.z;field.pose.pose.orientation.x;field.pose.pose.orientation.y;field.pose.pose.orientation.z;field.pose.pose.orientation.w;field.pose.covariance0;field.pose.covariance1;field.pose.covariance2;field.pose.covariance3;field.pose.covariance4;field.pose.covariance5;field.pose.covariance6;field.pose.covariance7;field.pose.covariance8;field.pose.covariance9;field.pose.covariance10;field.pose.covariance11;field.pose.covariance12;field.pose.covariance13;field.pose.covariance14;field.pose.covariance15;field.pose.covariance16;field.pose.covariance17;field.pose.covariance18;field.pose.covariance19;field.pose.covariance20;field.pose.covariance21;field.pose.covariance22;field.pose.covariance23;field.pose.covariance24;field.pose.covariance25;field.pose.covariance26;field.pose.covariance27;field.pose.covariance28;field.pose.covariance29;field.pose.covariance30;field.pose.covariance31;field.pose.covariance32;field.pose.covariance33;field.pose.covariance34;field.pose.covariance35
280712000000;108;280712000000;map;21.4722826704;-0.0734716346856;0.0;0.0;0.0;-0.00229267503857;0.999997371817;0.00190251937408;-0.000318896580868;0.00144484983782;0.0;0.0;0.0;0.0;0.0;0.000804629926207;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
281107000000;109;281107000000;map;21.6757324695;-0.0743502074981;0.0;0.0;0.0;-0.00283940662126;0.999995968877;0.00183502073241;-0.00030396481882;0.00157481365899;0.0;0.0;0.0;0.0;0.0;0.000882304519088;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
281505000000;110;281505000000;map;21.879081688;-0.0802645763346;0.0;0.0;0.0;-0.00353592389292;0.999993748602;0.00192127737336;-0.000282320962126;0.00199400576366;0.0;0.0;0.0;0.0;0.0;0.00106539594939;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
281919000000;111;281919000000;map;22.0824785459;-0.0806338871559;0.0;0.0;0.0;-0.00473050872594;0.999988811081;0.00178839511761;-0.000111518859095;0.00190528532905;0.0;0.0;0.0;0.0;0.0;0.00113593770762;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
282319000000;112;282319000000;map;22.2805790063;-0.0777104220046;0.0;0.0;0.0;-0.0035021505748;0.999993867452;0.0017612078542;-0.000128863963855;0.00183998552122;0.0;0.0;0.0;0.0;0.0;0.000983154548905;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
282719000000;113;282719000000;map;22.4804462389;-0.0753174960712;0.0;0.0;0.0;-0.00388733825839;0.999992444272;0.00184168053897;-2.30752851613e-05;0.00212548097341;0.0;0.0;0.0;0.0;0.0;0.00103914992422;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
283122000000;114;283122000000;map;22.6857304987;-0.0791035275167;0.0;0.0;0.0;-0.00532357977967;0.999985829649;0.00174009793011;-0.000110810352705;0.00239921348975;0.0;0.0;0.0;0.0;0.0;0.00109904703562;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
283517000000;115;283517000000;map;22.8844229982;-0.0762231595652;0.0;0.0;0.0;-0.00555258212319;0.999984584297;0.00181440363599;-2.37164431931e-05;0.00239102507288;0.0;0.0;0.0;0.0;0.0;0.000951907100393;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
283919000000;116;283919000000;map;23.0878352226;-0.0786487802621;0.0;0.0;0.0;-0.00481027239809;0.999988430573;0.00182577714031;-5.49379682835e-06;0.00265698126346;0.0;0.0;0.0;0.0;0.0;0.000931126926468;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
284325000000;117;284325000000;map;23.29883255;-0.0873753571336;0.0;0.0;0.0;-0.00546881947921;0.999985045895;0.00184469581563;5.34834396875e-05;0.00299194463194;0.0;0.0;0.0;0.0;0.0;0.000923724680543;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
