%time;field.header.seq;field.header.stamp;field.header.frame_id;field.pose.pose.position.x;field.pose.pose.position.y;field.pose.pose.position.z;field.pose.pose.orientation.x;field.pose.pose.orientation.y;field.pose.pose.orientation.z;field.pose.pose.orientation.w;field.pose.covariance0;field.pose.covariance1;field.pose.covariance2;field.pose.covariance3;field.pose.covariance4;field.pose.covariance5;field.pose.covariance6;field.pose.covariance7;field.pose.covariance8;field.pose.covariance9;field.pose.covariance10;field.pose.covariance11;field.pose.covariance12;field.pose.covariance13;field.pose.covariance14;field.pose.covariance15;field.pose.covariance16;field.pose.covariance17;field.pose.covariance18;field.pose.covariance19;field.pose.covariance20;field.pose.covariance21;field.pose.covariance22;field.pose.covariance23;field.pose.covariance24;field.pose.covariance25;field.pose.covariance26;field.pose.covariance27;field.pose.covariance28;field.pose.covariance29;field.pose.covariance30;field.pose.covariance31;field.pose.covariance32;field.pose.covariance33;field.pose.covariance34;field.pose.covariance35
8637000000;0;8637000000;map;-0.0126674857151;0.00628569978612;0.0;0.0;0.0;-0.00163525421383;0.999998662971;0.185280615717;-0.00271049191203;0.0;0.0;0.0;0.0;-0.00271049191203;0.186606863334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0517913334479
50810000000;1;50810000000;map;0.237954760649;0.0142897907434;0.0;0.0;0.0;-0.0174456647103;0.999847812811;0.140460706154;0.00134938245998;0.0;0.0;0.0;0.0;0.00134938245998;0.146283290658;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0353155643736
51318000000;2;51318000000;map;0.488382792797;-0.0240380376695;0.0;0.0;0.0;-0.0217754656103;0.999762886437;0.0841611787473;-0.00817187282683;0.0;0.0;0.0;0.0;-0.00817187282683;0.105027107418;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0255896778964
51824000000;3;51824000000;map;0.719446026793;-0.00736113007507;0.0;0.0;0.0;0.00441726291984;0.999990243847;0.0671906700293;-0.00383203854961;0.0;0.0;0.0;0.0;-0.00383203854961;0.0795364552259;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0186485730316
52331000000;4;52331000000;map;0.97530479169;-0.0267724436621;0.0;0.0;0.0;0.00822411102786;0.999966181427;0.0529041143918;-0.00148673825957;0.0;0.0;0.0;0.0;-0.00148673825957;0.0591811544281;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014931169159
52835000000;5;52835000000;map;1.22749391749;-0.0185666729788;0.0;0.0;0.0;0.0438678100928;0.999037344266;0.0360500068897;0.000776956417218;0.0;0.0;0.0;0.0;0.000776956417218;0.0450762984999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00865847093691
53359000000;6;53359000000;map;1.50355205136;0.0320438452138;0.0;0.0;0.0;0.121259452321;0.992620846659;0.027637715652;0.000936678745261;0.0;0.0;0.0;0.0;0.000936678745261;0.0309098537654;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00549675028029
53898000000;7;53898000000;map;1.7586599406;0.112687894949;0.0;0.0;0.0;0.184262965248;0.982876980928;0.0262153476765;-0.000206728636957;0.0;0.0;0.0;0.0;-0.000206728636957;0.0197978099084;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00383953314879
54460000000;8;54460000000;map;2.00323624182;0.225700778136;0.0;0.0;0.0;0.229301881649;0.973355354982;0.0204741343016;-0.00239404605607;0.0;0.0;0.0;0.0;-0.00239404605607;0.0134852832915;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00275763119556
55048000000;9;55048000000;map;2.26377272732;0.364887949447;0.0;0.0;0.0;0.268933132865;0.963158849852;0.0189360842398;-0.00196828409989;0.0;0.0;0.0;0.0;-0.00196828409989;0.010557075412;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00231698205835
55682000000;10;55682000000;map;2.5201319814;0.539356073501;0.0;0.0;0.0;0.322991983778;0.946401700345;0.0162249173234;-0.00129380353652;0.0;0.0;0.0;0.0;-0.00129380353652;0.00938508661785;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00244634960306
