%time;field.header.seq;field.header.stamp;field.header.frame_id;field.pose.pose.position.x;field.pose.pose.position.y;field.pose.pose.position.z;field.pose.pose.orientation.x;field.pose.pose.orientation.y;field.pose.pose.orientation.z;field.pose.pose.orientation.w;field.pose.covariance0;field.pose.covariance1;field.pose.covariance2;field.pose.covariance3;field.pose.covariance4;field.pose.covariance5;field.pose.covariance6;field.pose.covariance7;field.pose.covariance8;field.pose.covariance9;field.pose.covariance10;field.pose.covariance11;field.pose.covariance12;field.pose.covariance13;field.pose.covariance14;field.pose.covariance15;field.pose.covariance16;field.pose.covariance17;field.pose.covariance18;field.pose.covariance19;field.pose.covariance20;field.pose.covariance21;field.pose.covariance22;field.pose.covariance23;field.pose.covariance24;field.pose.covariance25;field.pose.covariance26;field.pose.covariance27;field.pose.covariance28;field.pose.covariance29;field.pose.covariance30;field.pose.covariance31;field.pose.covariance32;field.pose.covariance33;field.pose.covariance34;field.pose.covariance35
243647000000;17;243647000000;map;3.99274084154;-0.0375701809475;0.0;0.0;0.0;-0.000686869800418;0.999999764105;1.07300147097;0.125811046842;0.0;0.0;0.0;0.0;0.125811046842;0.279023779098;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0190942027876
244154000000;18;244154000000;map;4.24798377359;-0.0371126600306;0.0;0.0;0.0;-0.000850599197061;0.99999963824;0.644173028217;0.0456846899576;0.0;0.0;0.0;0.0;0.0456846899576;0.155257389655;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0151000593041
244659000000;19;244659000000;map;4.5033305972;-0.0363892420157;0.0;0.0;0.0;-0.000560042241581;0.999999843176;0.734359721455;0.101932066412;0.0;0.0;0.0;0.0;0.101932066412;0.172928134791;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0158415149238
245180000000;20;245180000000;map;4.76520683956;-0.0362269441055;0.0;0.0;0.0;-0.000739029765628;0.999999726917;0.252298828431;0.0622386892355;0.0;0.0;0.0;0.0;0.0622386892355;0.122683074601;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00613989000835
245684000000;21;245684000000;map;5.01847088713;-0.0359312231811;0.0;0.0;0.0;-0.000609581445751;0.999999814205;0.23319947544;0.0424689521698;0.0;0.0;0.0;0.0;0.0424689521698;0.0824297561393;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00540121006617
246187000000;22;246187000000;map;5.27178991448;-0.0358991597795;0.0;0.0;0.0;-0.0012054096709;0.999999273493;0.118298963823;0.0172025092208;0.0;0.0;0.0;0.0;0.0172025092208;0.0742355429799;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00506568867289
246706000000;23;246706000000;map;5.53424796869;-0.0346914552011;0.0;0.0;0.0;-0.000821553007729;0.999999662525;0.0506640829392;-0.0301005313315;0.0;0.0;0.0;0.0;-0.0301005313315;0.0523920912428;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00443943084869
247211000000;24;247211000000;map;5.78910846552;-0.0348291236046;0.0;0.0;0.0;-0.000808523908949;0.999999673144;0.0347768955104;-0.0267980883634;0.0;0.0;0.0;0.0;-0.0267980883634;0.0524821153858;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00451350257615
247712000000;25;247712000000;map;6.04280881026;-0.034790840639;0.0;0.0;0.0;-0.00114633466871;0.999999342958;0.03055742351;-0.0470681277907;0.0;0.0;0.0;0.0;-0.0470681277907;0.102826401232;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00784167860139
248219000000;26;248219000000;map;6.29902502497;-0.0358589811236;0.0;0.0;0.0;-0.00145047718321;0.999998948057;0.0159625735794;-0.0282687776702;0.0;0.0;0.0;0.0;-0.0282687776702;0.0727214015061;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00589141858352
248722000000;27;248722000000;map;6.55444118609;-0.0364119738816;0.0;0.0;0.0;-0.00139512434475;0.999999026814;0.00955771306874;-0.0136123815203;0.0;0.0;0.0;0.0;-0.0136123815203;0.0428326959098;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00391469637302
249241000000;28;249241000000;map;6.81648968043;-0.0354582790136;0.0;0.0;0.0;-0.00145631052934;0.999998939579;0.00663250110161;-0.00543731057362;0.0;0.0;0.0;0.0;-0.00543731057362;0.0228535648295;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00257636869419
249750000000;29;249750000000;map;7.07760345879;-0.0353559147671;0.0;0.0;0.0;-0.00111718265033;0.999999375951;0.00549132818055;-7.50801186112e-05;0.0;0.0;0.0;0.0;-7.50801186112e-05;0.00263855339342;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00118540087902
250254000000;30;250254000000;map;7.3332766277;-0.0347279966346;0.0;0.0;0.0;-0.000794945391586;0.999999684031;0.00580372345969;-0.000102095335652;0.0;0.0;0.0;0.0;-0.000102095335652;0.00257130020166;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0011537739109
