%time;field.header.seq;field.header.stamp;field.header.frame_id;field.pose.pose.position.x;field.pose.pose.position.y;field.pose.pose.position.z;field.pose.pose.orientation.x;field.pose.pose.orientation.y;field.pose.pose.orientation.z;field.pose.pose.orientation.w;field.pose.covariance0;field.pose.covariance1;field.pose.covariance2;field.pose.covariance3;field.pose.covariance4;field.pose.covariance5;field.pose.covariance6;field.pose.covariance7;field.pose.covariance8;field.pose.covariance9;field.pose.covariance10;field.pose.covariance11;field.pose.covariance12;field.pose.covariance13;field.pose.covariance14;field.pose.covariance15;field.pose.covariance16;field.pose.covariance17;field.pose.covariance18;field.pose.covariance19;field.pose.covariance20;field.pose.covariance21;field.pose.covariance22;field.pose.covariance23;field.pose.covariance24;field.pose.covariance25;field.pose.covariance26;field.pose.covariance27;field.pose.covariance28;field.pose.covariance29;field.pose.covariance30;field.pose.covariance31;field.pose.covariance32;field.pose.covariance33;field.pose.covariance34;field.pose.covariance35
267972000000;65;267972000000;map;16.3134281936;-0.0232790118423;0.0;0.0;0.0;0.00260775668671;0.999996599797;0.00917556013189;-0.000166664989694;0.0;0.0;0.0;0.0;-0.000166664989694;0.00479989713055;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00159230762825
268473000000;66;268473000000;map;16.5683482828;-0.0230951203824;0.0;0.0;0.0;0.00243154858914;0.999997043781;0.00927753738699;-0.000279686080823;0.0;0.0;0.0;0.0;-0.000279686080823;0.00509665794285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00161250935488
268981000000;67;268981000000;map;16.8287996673;-0.0238320177513;0.0;0.0;0.0;0.00192418384822;0.999998148757;0.00911036921821;-0.00026652679162;0.0;0.0;0.0;0.0;-0.00026652679162;0.00541476493494;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00169118673689
269494000000;68;269494000000;map;17.0932644693;-0.0238795060247;0.0;0.0;0.0;0.00184525920776;0.999998297508;0.00900977024367;-0.000250602838104;0.0;0.0;0.0;0.0;-0.000250602838104;0.00553589539217;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00165930161268
269996000000;69;269996000000;map;17.3493569078;-0.0242545995558;0.0;0.0;0.0;0.00193219508007;0.999998133309;0.00898161036963;-0.000329854571191;0.0;0.0;0.0;0.0;-0.000329854571191;0.00568466160921;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00162536487986
270496000000;70;270496000000;map;17.606650896;-0.0246425843911;0.0;0.0;0.0;0.00176655062136;0.999998439648;0.00870562981464;-0.00033808283018;0.0;0.0;0.0;0.0;-0.00033808283018;0.00579296725682;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00158412780898
271011000000;71;271011000000;map;17.8699593887;-0.0275270783756;0.0;0.0;0.0;0.00104063359118;0.999999458541;0.00841822822878;-0.000362134308619;0.0;0.0;0.0;0.0;-0.000362134308619;0.00595306994891;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00157422591479
271532000000;72;271532000000;map;18.1370301596;-0.0309735006171;0.0;0.0;0.0;0.000387025768575;0.999999925106;0.00802557729401;-0.000242314175932;0.0;0.0;0.0;0.0;-0.000242314175932;0.00593198045715;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00153254483204
272037000000;73;272037000000;map;18.3940561731;-0.0349493567066;0.0;0.0;0.0;-0.000500909658467;0.999999874545;0.00760503935902;-0.000166427554308;0.0;0.0;0.0;0.0;-0.000166427554309;0.00586623183559;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00143804634211
272542000000;74;272542000000;map;18.6499749027;-0.0404262898232;0.0;0.0;0.0;-0.0015689420287;0.99999876921;0.00762276593844;-7.64102512337e-05;0.0;0.0;0.0;0.0;-7.64102512339e-05;0.00559745469239;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00137866409995
