%time;field.header.seq;field.header.stamp;field.header.frame_id;field.pose.pose.position.x;field.pose.pose.position.y;field.pose.pose.position.z;field.pose.pose.orientation.x;field.pose.pose.orientation.y;field.pose.pose.orientation.z;field.pose.pose.orientation.w;field.pose.covariance0;field.pose.covariance1;field.pose.covariance2;field.pose.covariance3;field.pose.covariance4;field.pose.covariance5;field.pose.covariance6;field.pose.covariance7;field.pose.covariance8;field.pose.covariance9;field.pose.covariance10;field.pose.covariance11;field.pose.covariance12;field.pose.covariance13;field.pose.covariance14;field.pose.covariance15;field.pose.covariance16;field.pose.covariance17;field.pose.covariance18;field.pose.covariance19;field.pose.covariance20;field.pose.covariance21;field.pose.covariance22;field.pose.covariance23;field.pose.covariance24;field.pose.covariance25;field.pose.covariance26;field.pose.covariance27;field.pose.covariance28;field.pose.covariance29;field.pose.covariance30;field.pose.covariance31;field.pose.covariance32;field.pose.covariance33;field.pose.covariance34;field.pose.covariance35
249241000000;28;249241000000;map;7.08428728502;-0.13285334044;0.0;0.0;0.0;-0.000334429459039;0.999999944078;0.206181798928;0.00247565797472;0.0;0.0;0.0;0.0;0.00247565797472;0.00162371285158;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000210994554746
249750000000;29;249750000000;map;7.33871910508;-0.127522100953;0.0;0.0;0.0;0.000300885150557;0.999999954734;0.138166177256;0.00111763126736;0.0;0.0;0.0;0.0;0.00111763126736;0.00152968033255;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00019933671754
250254000000;30;250254000000;map;7.59584254507;-0.122321385236;0.0;0.0;0.0;0.000980749553949;0.999999519065;0.093389410681;0.000488685372651;0.0;0.0;0.0;0.0;0.000488685372651;0.00146988906884;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000192178716426
250771000000;31;250771000000;map;7.85626565775;-0.117717009581;0.0;0.0;0.0;0.00149465523048;0.999998883002;0.0911952189864;0.000221027910155;0.0;0.0;0.0;0.0;0.000221027910155;0.00140002332298;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00018045458906
251272000000;32;251272000000;map;8.11170309687;-0.113821870976;0.0;0.0;0.0;0.00179373452735;0.999998391257;0.0946822013457;0.000279449161745;0.0;0.0;0.0;0.0;0.000279449161745;0.00145644532224;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000181864539329
251772000000;33;251772000000;map;8.37322373834;-0.108939535348;0.0;0.0;0.0;0.0021155232475;0.999997762278;0.0990854257453;0.000244622999647;0.0;0.0;0.0;0.0;0.000244622999647;0.00147267195959;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000180362543757
252291000000;34;252291000000;map;8.63257992609;-0.103999078989;0.0;0.0;0.0;0.00234490330468;0.99999725071;0.105331764949;0.000582761336409;0.0;0.0;0.0;0.0;0.000582761336409;0.00140293522565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000178860154408
252796000000;35;252796000000;map;8.88733853263;-0.100711258866;0.0;0.0;0.0;0.00244157689725;0.999997019347;0.109306377555;0.000669411698987;0.0;0.0;0.0;0.0;0.000669411698987;0.00135648385671;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000181230761413
253297000000;36;253297000000;map;9.13959894611;-0.0972301454728;0.0;0.0;0.0;0.00254576271733;0.999996759541;0.10877781982;0.000769806195486;0.0;0.0;0.0;0.0;0.000769806195486;0.00135500173149;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000178660044964
253800000000;37;253800000000;map;9.38489253155;-0.0934767628651;0.0;0.0;0.0;0.00260743360067;0.999996600639;0.110844365425;0.00080234412786;0.0;0.0;0.0;0.0;0.00080234412786;0.00137967949896;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000185580824294
