 17:32:32 up 1 day,  8:13,  1 user,  load average: 0.56, 0.23, 0.20
 17:32:33 up 1 day,  8:13,  1 user,  load average: 0.68, 0.26, 0.20
 17:32:34 up 1 day,  8:13,  1 user,  load average: 0.68, 0.26, 0.20
 17:32:35 up 1 day,  8:13,  1 user,  load average: 0.68, 0.26, 0.20
 17:32:36 up 1 day,  8:13,  1 user,  load average: 0.68, 0.26, 0.20
 17:32:37 up 1 day,  8:13,  1 user,  load average: 0.68, 0.26, 0.20
 17:32:38 up 1 day,  8:13,  1 user,  load average: 0.62, 0.25, 0.20
 17:32:39 up 1 day,  8:13,  1 user,  load average: 0.62, 0.25, 0.20
 17:32:40 up 1 day,  8:14,  1 user,  load average: 0.62, 0.25, 0.20
 17:32:41 up 1 day,  8:14,  1 user,  load average: 0.62, 0.25, 0.20
 17:32:42 up 1 day,  8:14,  1 user,  load average: 0.62, 0.25, 0.20
 17:32:43 up 1 day,  8:14,  1 user,  load average: 0.73, 0.28, 0.21
 17:32:44 up 1 day,  8:14,  1 user,  load average: 0.73, 0.28, 0.21
 17:32:45 up 1 day,  8:14,  1 user,  load average: 0.73, 0.28, 0.21
 17:32:46 up 1 day,  8:14,  1 user,  load average: 0.73, 0.28, 0.21
 17:32:47 up 1 day,  8:14,  1 user,  load average: 0.73, 0.28, 0.21
 17:32:48 up 1 day,  8:14,  1 user,  load average: 0.83, 0.31, 0.22
 17:32:49 up 1 day,  8:14,  1 user,  load average: 0.83, 0.31, 0.22
 17:32:50 up 1 day,  8:14,  1 user,  load average: 0.83, 0.31, 0.22
 17:32:51 up 1 day,  8:14,  1 user,  load average: 0.83, 0.31, 0.22
 17:32:52 up 1 day,  8:14,  1 user,  load average: 0.83, 0.31, 0.22
 17:32:53 up 1 day,  8:14,  1 user,  load average: 1.09, 0.37, 0.24
 17:32:54 up 1 day,  8:14,  1 user,  load average: 1.09, 0.37, 0.24
 17:32:55 up 1 day,  8:14,  1 user,  load average: 1.09, 0.37, 0.24
 17:32:56 up 1 day,  8:14,  1 user,  load average: 1.09, 0.37, 0.24
 17:34:26 up 1 day,  8:15,  1 user,  load average: 1.00, 0.49, 0.29
 17:34:27 up 1 day,  8:15,  1 user,  load average: 0.92, 0.48, 0.29
 17:34:28 up 1 day,  8:15,  1 user,  load average: 0.92, 0.48, 0.29
 17:34:29 up 1 day,  8:15,  1 user,  load average: 0.92, 0.48, 0.29
 17:34:30 up 1 day,  8:15,  1 user,  load average: 0.92, 0.48, 0.29
 17:34:31 up 1 day,  8:15,  1 user,  load average: 0.92, 0.48, 0.29
 17:34:32 up 1 day,  8:15,  1 user,  load average: 0.93, 0.49, 0.30
 17:34:33 up 1 day,  8:15,  1 user,  load average: 0.93, 0.49, 0.30
 17:34:34 up 1 day,  8:15,  1 user,  load average: 0.93, 0.49, 0.30
 17:34:35 up 1 day,  8:15,  1 user,  load average: 0.93, 0.49, 0.30
 17:34:36 up 1 day,  8:15,  1 user,  load average: 0.93, 0.49, 0.30
 17:34:37 up 1 day,  8:15,  1 user,  load average: 1.01, 0.51, 0.31
 17:34:38 up 1 day,  8:15,  1 user,  load average: 1.01, 0.51, 0.31
 17:34:39 up 1 day,  8:16,  1 user,  load average: 1.01, 0.51, 0.31
 17:34:40 up 1 day,  8:16,  1 user,  load average: 1.01, 0.51, 0.31
 17:34:41 up 1 day,  8:16,  1 user,  load average: 1.01, 0.51, 0.31
 17:34:42 up 1 day,  8:16,  1 user,  load average: 1.17, 0.55, 0.32
 17:34:44 up 1 day,  8:16,  1 user,  load average: 1.17, 0.55, 0.32
 17:34:45 up 1 day,  8:16,  1 user,  load average: 1.17, 0.55, 0.32
 17:34:46 up 1 day,  8:16,  1 user,  load average: 1.17, 0.55, 0.32
 17:34:47 up 1 day,  8:16,  1 user,  load average: 1.17, 0.55, 0.32
 17:34:48 up 1 day,  8:16,  1 user,  load average: 1.24, 0.58, 0.33
 17:34:49 up 1 day,  8:16,  1 user,  load average: 1.24, 0.58, 0.33
 17:34:50 up 1 day,  8:16,  1 user,  load average: 1.24, 0.58, 0.33
 17:34:51 up 1 day,  8:16,  1 user,  load average: 1.24, 0.58, 0.33
