 17:38:21 up 1 day,  8:19,  1 user,  load average: 1.08, 0.92, 0.52
 17:38:22 up 1 day,  8:19,  1 user,  load average: 1.08, 0.92, 0.52
 17:38:23 up 1 day,  8:19,  1 user,  load average: 1.00, 0.90, 0.52
 17:38:24 up 1 day,  8:19,  1 user,  load average: 1.00, 0.90, 0.52
 17:38:25 up 1 day,  8:19,  1 user,  load average: 1.00, 0.90, 0.52
 17:38:26 up 1 day,  8:19,  1 user,  load average: 1.00, 0.90, 0.52
 17:38:27 up 1 day,  8:19,  1 user,  load average: 1.00, 0.90, 0.52
 17:38:28 up 1 day,  8:19,  1 user,  load average: 1.00, 0.90, 0.52
 17:38:29 up 1 day,  8:19,  1 user,  load average: 1.00, 0.90, 0.52
 17:38:30 up 1 day,  8:19,  1 user,  load average: 1.00, 0.90, 0.52
 17:38:31 up 1 day,  8:19,  1 user,  load average: 1.00, 0.90, 0.52
 17:38:32 up 1 day,  8:19,  1 user,  load average: 1.00, 0.90, 0.52
 17:38:33 up 1 day,  8:19,  1 user,  load average: 1.00, 0.90, 0.53
 17:38:34 up 1 day,  8:19,  1 user,  load average: 1.00, 0.90, 0.53
 17:38:35 up 1 day,  8:19,  1 user,  load average: 1.00, 0.90, 0.53
 17:38:36 up 1 day,  8:19,  1 user,  load average: 1.00, 0.90, 0.53
 17:38:37 up 1 day,  8:19,  1 user,  load average: 1.00, 0.90, 0.53
 17:38:38 up 1 day,  8:19,  1 user,  load average: 1.00, 0.91, 0.53
 17:38:39 up 1 day,  8:19,  1 user,  load average: 1.00, 0.91, 0.53
 17:38:40 up 1 day,  8:20,  1 user,  load average: 1.00, 0.91, 0.53
 17:38:41 up 1 day,  8:20,  1 user,  load average: 1.00, 0.91, 0.53
 17:38:42 up 1 day,  8:20,  1 user,  load average: 1.00, 0.91, 0.53
 17:38:43 up 1 day,  8:20,  1 user,  load average: 1.08, 0.93, 0.54
 17:38:44 up 1 day,  8:20,  1 user,  load average: 1.08, 0.93, 0.54
 17:38:45 up 1 day,  8:20,  1 user,  load average: 1.08, 0.93, 0.54
 17:38:46 up 1 day,  8:20,  1 user,  load average: 1.08, 0.93, 0.54
 17:38:47 up 1 day,  8:20,  1 user,  load average: 1.08, 0.93, 0.54
 17:38:48 up 1 day,  8:20,  1 user,  load average: 1.23, 0.96, 0.55
 17:38:49 up 1 day,  8:20,  1 user,  load average: 1.23, 0.96, 0.55
 17:38:50 up 1 day,  8:20,  1 user,  load average: 1.23, 0.96, 0.55
 17:38:51 up 1 day,  8:20,  1 user,  load average: 1.23, 0.96, 0.55
 17:38:52 up 1 day,  8:20,  1 user,  load average: 1.23, 0.96, 0.55
 17:38:53 up 1 day,  8:20,  1 user,  load average: 1.45, 1.01, 0.57
 17:38:54 up 1 day,  8:20,  1 user,  load average: 1.45, 1.01, 0.57
 17:38:55 up 1 day,  8:20,  1 user,  load average: 1.45, 1.01, 0.57
 17:38:56 up 1 day,  8:20,  1 user,  load average: 1.45, 1.01, 0.57
 17:38:57 up 1 day,  8:20,  1 user,  load average: 1.45, 1.01, 0.57
 17:38:58 up 1 day,  8:20,  1 user,  load average: 1.58, 1.04, 0.58
 17:38:59 up 1 day,  8:20,  1 user,  load average: 1.58, 1.04, 0.58
 17:39:00 up 1 day,  8:20,  1 user,  load average: 1.58, 1.04, 0.58
 17:39:01 up 1 day,  8:20,  1 user,  load average: 1.58, 1.04, 0.58
 17:39:02 up 1 day,  8:20,  1 user,  load average: 1.58, 1.04, 0.58
 17:39:03 up 1 day,  8:20,  1 user,  load average: 1.53, 1.04, 0.59
 17:39:04 up 1 day,  8:20,  1 user,  load average: 1.53, 1.04, 0.59
 17:39:05 up 1 day,  8:20,  1 user,  load average: 1.53, 1.04, 0.59
 17:39:06 up 1 day,  8:20,  1 user,  load average: 1.53, 1.04, 0.59
 17:39:07 up 1 day,  8:20,  1 user,  load average: 1.53, 1.04, 0.59
 17:39:08 up 1 day,  8:20,  1 user,  load average: 1.65, 1.08, 0.60
 17:39:09 up 1 day,  8:20,  1 user,  load average: 1.65, 1.08, 0.60
 17:39:10 up 1 day,  8:20,  1 user,  load average: 1.65, 1.08, 0.60
 17:39:11 up 1 day,  8:20,  1 user,  load average: 1.65, 1.08, 0.60
 17:39:12 up 1 day,  8:20,  1 user,  load average: 1.65, 1.08, 0.60
 17:39:13 up 1 day,  8:20,  1 user,  load average: 2.00, 1.16, 0.63
 17:39:14 up 1 day,  8:20,  1 user,  load average: 2.00, 1.16, 0.63
 17:39:15 up 1 day,  8:20,  1 user,  load average: 2.00, 1.16, 0.63
 17:39:16 up 1 day,  8:20,  1 user,  load average: 2.00, 1.16, 0.63
 17:39:17 up 1 day,  8:20,  1 user,  load average: 2.00, 1.16, 0.63
 17:39:18 up 1 day,  8:20,  1 user,  load average: 1.92, 1.15, 0.63
 17:39:19 up 1 day,  8:20,  1 user,  load average: 1.92, 1.15, 0.63
 17:39:20 up 1 day,  8:20,  1 user,  load average: 1.92, 1.15, 0.63
 17:39:21 up 1 day,  8:20,  1 user,  load average: 1.92, 1.15, 0.63
 17:39:22 up 1 day,  8:20,  1 user,  load average: 1.92, 1.15, 0.63
 17:39:23 up 1 day,  8:20,  1 user,  load average: 1.85, 1.15, 0.63
 17:39:24 up 1 day,  8:20,  1 user,  load average: 1.85, 1.15, 0.63
 17:39:25 up 1 day,  8:20,  1 user,  load average: 1.85, 1.15, 0.63
 17:39:26 up 1 day,  8:20,  1 user,  load average: 1.85, 1.15, 0.63
 17:39:27 up 1 day,  8:20,  1 user,  load average: 1.85, 1.15, 0.63
 17:39:28 up 1 day,  8:20,  1 user,  load average: 1.78, 1.15, 0.64
 17:39:29 up 1 day,  8:20,  1 user,  load average: 1.78, 1.15, 0.64
 17:39:30 up 1 day,  8:20,  1 user,  load average: 1.78, 1.15, 0.64
 17:39:31 up 1 day,  8:20,  1 user,  load average: 1.78, 1.15, 0.64
 17:39:32 up 1 day,  8:20,  1 user,  load average: 1.78, 1.15, 0.64
 17:39:33 up 1 day,  8:20,  1 user,  load average: 1.96, 1.20, 0.65
 17:39:34 up 1 day,  8:20,  1 user,  load average: 1.96, 1.20, 0.65
 17:39:35 up 1 day,  8:20,  1 user,  load average: 1.96, 1.20, 0.65
