%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
239511333926,7,239511333926,map,15.4730396162,-8.10798033487,0.0,0.0,0.0,-0.718033741444,0.696008294597,186.122727135,38.9847000992,99.8768568483,0.0,0.0,0.0,0.0,0.0,3.01716144593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239884606395,8,239884606395,map,15.4549456069,-8.88537016978,0.0,0.0,0.0,-0.717135618638,0.696933644245,167.577664421,38.9754626591,103.808189833,0.0,0.0,0.0,0.0,0.0,2.48839285359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240404000000,9,240404000000,map,15.8100082195,15.6868311304,0.0,0.0,0.0,-0.705567535233,0.708642683745,148.340799076,38.8551927295,106.533360948,0.0,0.0,0.0,0.0,0.0,2.08457360089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240724000000,10,240724000000,map,15.8108862451,15.4852754277,0.0,0.0,0.0,-0.705567158392,0.70864305895,135.419591509,39.9113547732,106.789258426,0.0,0.0,0.0,0.0,0.0,1.86728565207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241095000000,11,241095000000,map,15.8117599575,15.2845925686,0.0,0.0,0.0,-0.705566478357,0.708643736033,118.396626761,37.9112737213,103.332874822,0.0,0.0,0.0,0.0,0.0,1.62821369208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241465000000,12,241465000000,map,15.8126420783,15.0817659369,0.0,0.0,0.0,-0.705566246267,0.708643967115,102.213591869,35.3588690658,97.8960915256,0.0,0.0,0.0,0.0,0.0,1.45364367141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241824000000,13,241824000000,map,13.8520676585,0.11187332804,0.0,0.0,0.0,-0.000454186219266,0.999999896857,87.643422142,34.0360740407,90.9826537429,0.0,0.0,0.0,0.0,0.0,1.30070258702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242301000000,14,242301000000,map,14.0534092836,0.1116881448,0.0,0.0,0.0,-0.000455001348732,0.999999896487,74.3454107334,31.214560053,81.6301025336,0.0,0.0,0.0,0.0,0.0,1.18663177536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242578000000,15,242578000000,map,14.2557278831,0.1114990413,0.0,0.0,0.0,-0.000456348268135,0.999999895873,63.2953037998,27.6238469912,73.8640164435,0.0,0.0,0.0,0.0,0.0,1.09631550933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242936000000,16,242936000000,map,14.4565684632,0.111313494184,0.0,0.0,0.0,-0.000456847700333,0.999999895645,50.9228808277,24.5802681658,67.7525574627,0.0,0.0,0.0,0.0,0.0,1.02248139054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243349000000,17,243349000000,map,14.6607800123,0.111124183396,0.0,0.0,0.0,-0.000457214977062,0.999999895477,40.4852793393,21.7584853381,62.720161079,0.0,0.0,0.0,0.0,0.0,0.973374761731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243787000000,18,243787000000,map,14.8623791551,0.110942728823,0.0,0.0,0.0,-0.000456447258613,0.999999895828,31.3704567954,16.8332598391,57.9904736276,0.0,0.0,0.0,0.0,0.0,0.894243587428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244196000000,19,244196000000,map,15.0644988214,0.110755159782,0.0,0.0,0.0,-0.000457016445968,0.999999895568,23.1484828787,12.665695534,53.3779639117,0.0,0.0,0.0,0.0,0.0,0.824863280384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244631000000,20,244631000000,map,15.2761180828,0.110564496456,0.0,0.0,0.0,-0.000456479207019,0.999999895813,18.3118728289,9.67440639901,49.0935880971,0.0,0.0,0.0,0.0,0.0,0.796483939874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245072056928,21,245072056928,map,15.4785869926,0.110376908115,0.0,0.0,0.0,-0.000456796447755,0.999999895668,14.6685045647,7.37567106638,46.5824491923,0.0,0.0,0.0,0.0,0.0,0.776726254345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245429000000,22,245429000000,map,15.679121875,0.110191176269,0.0,0.0,0.0,-0.000457281016613,0.999999895447,10.8139169409,5.35945122235,44.2681335686,0.0,0.0,0.0,0.0,0.0,0.757620603851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245757000000,23,245757000000,map,15.8808443724,0.110014082831,0.0,0.0,0.0,-0.000456049014801,0.99999989601,8.68164732581,4.08878971431,42.8366960477,0.0,0.0,0.0,0.0,0.0,0.739978477604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246229000000,24,246229000000,map,16.0908687365,0.109830177124,0.0,0.0,0.0,-0.000455313541266,0.999999896345,5.27439826919,1.95993253723,41.3221702487,0.0,0.0,0.0,0.0,0.0,0.719953639061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246562000000,25,246562000000,map,16.2923895804,0.109650724508,0.0,0.0,0.0,-0.000454785797964,0.999999896585,3.43245097112,0.400605110007,39.9796590226,0.0,0.0,0.0,0.0,0.0,0.709140584739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247080000000,26,247080000000,map,15.825050491,12.2399457255,0.0,0.0,0.0,-0.705562952304,0.708647246757,2.48836892964,-0.556813036329,38.5476342664,0.0,0.0,0.0,0.0,0.0,0.702304040119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247468000000,27,247468000000,map,15.8259296574,12.0382741516,0.0,0.0,0.0,-0.705562991547,0.708647207684,1.69016834876,-1.48450279111,37.1366388466,0.0,0.0,0.0,0.0,0.0,0.692474633529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247869000000,28,247869000000,map,15.8268135868,11.8373184133,0.0,0.0,0.0,-0.70556242118,0.708647775569,1.62016302267,-2.04024685835,35.5268523936,0.0,0.0,0.0,0.0,0.0,0.685726050166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
