%time;field.header.seq;field.header.stamp;field.header.frame_id;field.pose.pose.position.x;field.pose.pose.position.y;field.pose.pose.position.z;field.pose.pose.orientation.x;field.pose.pose.orientation.y;field.pose.pose.orientation.z;field.pose.pose.orientation.w;field.pose.covariance0;field.pose.covariance1;field.pose.covariance2;field.pose.covariance3;field.pose.covariance4;field.pose.covariance5;field.pose.covariance6;field.pose.covariance7;field.pose.covariance8;field.pose.covariance9;field.pose.covariance10;field.pose.covariance11;field.pose.covariance12;field.pose.covariance13;field.pose.covariance14;field.pose.covariance15;field.pose.covariance16;field.pose.covariance17;field.pose.covariance18;field.pose.covariance19;field.pose.covariance20;field.pose.covariance21;field.pose.covariance22;field.pose.covariance23;field.pose.covariance24;field.pose.covariance25;field.pose.covariance26;field.pose.covariance27;field.pose.covariance28;field.pose.covariance29;field.pose.covariance30;field.pose.covariance31;field.pose.covariance32;field.pose.covariance33;field.pose.covariance34;field.pose.covariance35;field.twist.twist.linear.x;field.twist.twist.linear.y;field.twist.twist.linear.z;field.twist.twist.angular.x;field.twist.twist.angular.y;field.twist.twist.angular.z;field.twist.covariance0;field.twist.covariance1;field.twist.covariance2;field.twist.covariance3;field.twist.covariance4;field.twist.covariance5;field.twist.covariance6;field.twist.covariance7;field.twist.covariance8;field.twist.covariance9;field.twist.covariance10;field.twist.covariance11;field.twist.covariance12;field.twist.covariance13;field.twist.covariance14;field.twist.covariance15;field.twist.covariance16;field.twist.covariance17;field.twist.covariance18;field.twist.covariance19;field.twist.covariance20;field.twist.covariance21;field.twist.covariance22;field.twist.covariance23;field.twist.covariance24;field.twist.covariance25;field.twist.covariance26;field.twist.covariance27;field.twist.covariance28;field.twist.covariance29;field.twist.covariance30;field.twist.covariance31;field.twist.covariance32;field.twist.covariance33;field.twist.covariance34;field.twist.covariance35
2.58429E+11;12902;2.58429E+11;odom;11.67167714;-0.001338158;0;0;0;-5.70E-05;0.999999998;12.90798485;0.227356447;0;0;0;0.019790115;0.227356447;1994.906536;0;0;0;172.5369033;0;0;9.98E-07;2.40E-23;-1.53E-14;0;0;0;2.40E-23;9.96E-07;1.98E-28;0;0;0;-1.53E-14;1.98E-28;9.96E-07;0;0.019790115;172.5369033;0;0;0;15.48309301;0.499999784;0;0;0;0;-1.73E-07;0.000506229;0;0;0;0;0;0;0.000506229;0;0;0;0;0;0;9.97E-07;1.05E-27;-9.22E-24;0;0;0;1.05E-27;9.89E-07;3.39E-32;0;0;0;-9.22E-24;3.39E-32;9.89E-07;0;0;0;0;0;0;0.000178927
2.58449E+11;12903;2.58449E+11;odom;11.68167713;-0.001339297;0;0;0;-5.70E-05;0.999999998;12.90898532;0.227751091;0;0;0;0.019807755;0.227751091;1998.359821;0;0;0;172.6917371;0;0;9.98E-07;-2.94E-23;-1.53E-14;0;0;0;-2.94E-23;9.96E-07;-2.43E-28;0;0;0;-1.53E-14;-2.43E-28;9.96E-07;0;0.019807755;172.6917371;0;0;0;15.48429302;0.499999772;0;0;0;0;2.12E-07;0.000506229;0;0;0;0;0;0;0.000506229;0;0;0;0;0;0;9.97E-07;1.05E-27;-9.22E-24;0;0;0;1.05E-27;9.89E-07;3.39E-32;0;0;0;-9.22E-24;3.39E-32;9.89E-07;0;0;0;0;0;0;0.000178927
2.58469E+11;12904;2.58469E+11;odom;11.69167713;-0.001340436;0;0;0;-5.70E-05;0.999999998;12.90998579;0.228146083;0;0;0;0.019825396;0.228146083;2001.816203;0;0;0;172.8465829;0;0;9.98E-07;-4.16E-24;-1.53E-14;0;0;0;-4.16E-24;9.96E-07;-3.44E-29;0;0;0;-1.53E-14;-3.44E-29;9.96E-07;0;0.019825396;172.8465829;0;0;0;15.48549303;0.499999761;0;0;0;0;3.03E-08;0.000506229;0;0;0;0;0;0;0.000506229;0;0;0;0;0;0;9.97E-07;1.05E-27;-9.22E-24;0;0;0;1.05E-27;9.89E-07;3.39E-32;0;0;0;-9.22E-24;3.39E-32;9.89E-07;0;0;0;0;0;0;0.000178927
2.58489E+11;12905;2.58489E+11;odom;11.70167712;-0.001341576;0;0;0;-5.70E-05;0.999999998;12.91098626;0.228541427;0;0;0;0.019843038;0.228541427;2005.275682;0;0;0;173.0014407;0;0;9.98E-07;5.74E-24;-1.53E-14;0;0;0;5.74E-24;9.96E-07;4.75E-29;0;0;0;-1.53E-14;4.75E-29;9.96E-07;0;0.019843038;173.0014407;0;0;0;15.48669305;0.499999749;0;0;0;0;-4.13E-08;0.000506229;0;0;0;0;0;0;0.000506229;0;0;0;0;0;0;9.97E-07;1.05E-27;-9.22E-24;0;0;0;1.05E-27;9.89E-07;3.39E-32;0;0;0;-9.22E-24;3.39E-32;9.89E-07;0;0;0;0;0;0;0.000178927
2.58509E+11;12906;2.58509E+11;odom;11.71167712;-0.001342715;0;0;0;-5.70E-05;0.999999998;12.91198672;0.228937124;0;0;0;0.019860681;0.228937124;2008.738259;0;0;0;173.1563106;0;0;9.98E-07;3.80E-24;-1.53E-14;0;0;0;3.80E-24;9.96E-07;3.14E-29;0;0;0;-1.53E-14;3.14E-29;9.96E-07;0;0.019860681;173.1563106;0;0;0;15.48789306;0.499999738;0;0;0;0;-2.72E-08;0.000506229;0;0;0;0;0;0;0.000506229;0;0;0;0;0;0;9.97E-07;1.05E-27;-9.22E-24;0;0;0;1.05E-27;9.89E-07;3.39E-32;0;0;0;-9.22E-24;3.39E-32;9.89E-07;0;0;0;0;0;0;0.000178927
2.58529E+11;12907;2.58529E+11;odom;11.72167711;-0.001343854;0;0;0;-5.70E-05;0.999999998;12.91298719;0.229333174;0;0;0;0.019878326;0.229333174;2012.203932;0;0;0;173.3111924;0;0;9.98E-07;-2.68E-23;-1.53E-14;0;0;0;-2.68E-23;9.96E-07;-2.22E-28;0;0;0;-1.53E-14;-2.22E-28;9.96E-07;0;0.019878326;173.3111924;0;0;0;15.48909307;0.499999727;0;0;0;0;1.94E-07;0.000506229;0;0;0;0;0;0;0.000506229;0;0;0;0;0;0;9.97E-07;1.05E-27;-9.22E-24;0;0;0;1.05E-27;9.89E-07;3.39E-32;0;0;0;-9.22E-24;3.39E-32;9.89E-07;0;0;0;0;0;0;0.000178927
2.58549E+11;12908;2.58549E+11;odom;11.73167711;-0.001344993;0;0;0;-5.70E-05;0.999999998;12.91398766;0.229729573;0;0;0;0.019895972;0.229729573;2015.672703;0;0;0;173.4660862;0;0;9.98E-07;-5.59E-24;-1.53E-14;0;0;0;-5.59E-24;9.96E-07;-4.62E-29;0;0;0;-1.53E-14;-4.62E-29;9.96E-07;0;0.019895972;173.4660862;0;0;0;15.49029308;0.499999716;0;0;0;0;4.06E-08;0.000506229;0;0;0;0;0;0;0.000506229;0;0;0;0;0;0;9.97E-07;1.05E-27;-9.22E-24;0;0;0;1.05E-27;9.89E-07;3.39E-32;0;0;0;-9.22E-24;3.39E-32;9.89E-07;0;0;0;0;0;0;0.000178927
2.58569E+11;12909;2.58569E+11;odom;11.7416771;-0.001346133;0;0;0;-5.70E-05;0.999999998;12.91498813;0.230126322;0;0;0;0.019913619;0.230126322;2019.144573;0;0;0;173.620992;0;0;9.98E-07;1.26E-23;-1.53E-14;0;0;0;1.26E-23;9.96E-07;1.04E-28;0;0;0;-1.53E-14;1.04E-28;9.96E-07;0;0.019913619;173.620992;0;0;0;15.49149309;0.499999705;0;0;0;0;-9.06E-08;0.000506229;0;0;0;0;0;0;0.000506229;0;0;0;0;0;0;9.97E-07;1.05E-27;-9.22E-24;0;0;0;1.05E-27;9.89E-07;3.39E-32;0;0;0;-9.22E-24;3.39E-32;9.89E-07;0;0;0;0;0;0;0.000178927
2.58589E+11;12910;2.58589E+11;odom;11.75167709;-0.001347272;0;0;0;-5.70E-05;0.999999998;12.9159886;0.230523426;0;0;0;0.019931267;0.230523426;2022.61954;0;0;0;173.7759098;0;0;9.98E-07;-1.01E-23;-1.53E-14;0;0;0;-1.01E-23;9.96E-07;-8.40E-29;0;0;0;-1.53E-14;-8.40E-29;9.96E-07;0;0.019931267;173.7759098;0;0;0;15.49269311;0.499999694;0;0;0;0;7.36E-08;0.000506229;0;0;0;0;0;0;0.000506229;0;0;0;0;0;0;9.97E-07;1.05E-27;-9.22E-24;0;0;0;1.05E-27;9.89E-07;3.39E-32;0;0;0;-9.22E-24;3.39E-32;9.89E-07;0;0;0;0;0;0;0.000178927
2.58609E+11;12911;2.58609E+11;odom;11.76167709;-0.001348411;0;0;0;-5.70E-05;0.999999998;12.91698906;0.230920881;0;0;0;0.019948917;0.230920881;2026.097606;0;0;0;173.9308396;0;0;9.98E-07;-2.36E-23;-1.53E-14;0;0;0;-2.36E-23;9.96E-07;-1.95E-28;0;0;0;-1.53E-14;-1.95E-28;9.96E-07;0;0.019948917;173.9308396;0;0;0;15.49389312;0.499999683;0;0;0;0;1.71E-07;0.000506229;0;0;0;0;0;0;0.000506229;0;0;0;0;0;0;9.97E-07;1.05E-27;-9.22E-24;0;0;0;1.05E-27;9.89E-07;3.39E-32;0;0;0;-9.22E-24;3.39E-32;9.89E-07;0;0;0;0;0;0;0.000178927
