%time,field.x,field.y,field.z,field.w
1524842709447182893,0.0,0.0,0.0,1.0
1524842709490416049,0.0,0.0,2.99901795079e-08,1.0
1524842709495776891,0.0,0.0,3.31451742945e-08,1.0
1524842709542110919,0.0,0.0,5.57690954306e-08,1.0
1524842709547841072,0.0,0.0,5.86790808892e-08,1.0
1524842709570975065,0.0,0.0,6.02989676605e-08,1.0
1524842709600488901,0.0,0.0,6.09823929966e-08,1.0
1524842709627023935,0.0,0.0,6.38436824496e-08,1.0
1524842709647852897,0.0,0.0,6.91105871214e-08,1.0
1524842709677448034,0.0,0.0,7.9020345451e-08,1.0
1524842709698729038,0.0,0.0,8.17154055478e-08,1.0
1524842709734625101,0.0,0.0,8.87215667961e-08,1.0
1524842709757801055,0.0,0.0,1.07875152262e-07,1.0
1524842709779777050,0.0,0.0,1.18088989191e-07,1.0
1524842709805468082,0.0,0.0,1.32009822954e-07,1.0
1524842709828021049,0.0,0.0,1.40171794237e-07,1.0
1524842709854619026,0.0,0.0,-1.2916820189e-06,0.999999999999
1524842709873303890,0.0,0.0,-1.63369968896e-06,0.999999999999
1524842709898088932,0.0,0.0,-1.97571735902e-06,0.999999999998
1524842709938818931,0.0,0.0,-2.6323563052e-06,0.999999999997
1524842709953396081,0.0,0.0,-2.63798521639e-06,0.999999999997
1524842709977185964,0.0,0.0,-2.63903718359e-06,0.999999999997
1524842710000006914,0.0,0.0,-2.63681120268e-06,0.999999999997
1524842710028050899,0.0,0.0,-2.63199152282e-06,0.999999999997
1524842710047620058,0.0,0.0,-2.62994418407e-06,0.999999999997
1524842710080101013,0.0,0.0,-2.61590844918e-06,0.999999999997
1524842710109160900,0.0,0.0,-2.61048621461e-06,0.999999999997
1524842710125857114,0.0,0.0,-2.5656319842e-06,0.999999999997
1524842710152864933,0.0,0.0,-2.44653147683e-06,0.999999999997
1524842710179308891,0.0,0.0,-9.24083484298e-07,1.0
1524842710198714017,0.0,0.0,-7.35067580438e-07,1.0
1524842710228840112,0.0,0.0,-6.72432099249e-07,1.0
1524842710259948015,0.0,0.0,-4.72941440298e-07,1.0
1524842710281635046,0.0,0.0,-4.23031410083e-07,1.0
1524842710304666996,0.0,0.0,-4.1201869135e-07,1.0
1524842710328059911,0.0,0.0,-4.03992026028e-07,1.0
1524842710349293947,0.0,0.0,-4.00667996186e-07,1.0
1524842710374943017,0.0,0.0,-3.97343966343e-07,1.0
1524842710405561923,0.0,0.0,-3.88863549942e-07,1.0
1524842710442320108,0.0,0.0,-3.73765307633e-07,1.0
1524842710452713966,0.0,0.0,-3.64464427211e-07,1.0
1524842710478565931,0.0,0.0,-3.52929789599e-07,1.0
1524842710507129907,0.0,0.0,-3.48918205416e-07,1.0
1524842710530625104,0.0,0.0,-3.45190297746e-07,1.0
1524842710555769920,0.0,0.0,-3.43070301355e-07,1.0
1524842710585517883,0.0,0.0,-3.33004269629e-07,1.0
1524842710605905055,0.0,0.0,-3.27745473904e-07,1.0
1524842710632770061,0.0,0.0,-3.21124790382e-07,1.0
1524842710658530950,0.0,0.0,-3.13436901768e-07,1.0
1524842710679570913,0.0,0.0,-3.0983340533e-07,1.0
1524842710705584049,0.0,0.0,-3.10501807437e-07,1.0
1524842710732651948,0.0,0.0,-3.06000852162e-07,1.0
1524842710754769086,0.0,0.0,-3.04767465189e-07,1.0
1524842710782506942,0.0,0.0,-2.99010504468e-07,1.0
1524842710805516958,0.0,0.0,-2.95574734894e-07,1.0
1524842710829912900,0.0,0.0,-2.83545363294e-07,1.0
1524842710858625888,0.0,0.0,-2.82112264983e-07,1.0
1524842710880407094,0.0,0.0,-2.80177520992e-07,1.0
1524842710908153057,0.0,0.0,-2.75415048031e-07,1.0
1524842710930346965,0.0,0.0,-2.73002445628e-07,1.0
1524842710953183889,0.0,0.0,-2.71283073318e-07,1.0
1524842710979502916,0.0,0.0,-2.69872499574e-07,1.0
1524842711011945962,0.0,0.0,-2.59309149146e-07,1.0
1524842711027952909,0.0,0.0,-2.56636105048e-07,1.0
1524842711055133104,0.0,0.0,-2.5396306095e-07,1.0
1524842711085691928,0.0,0.0,-2.42917540451e-07,1.0
1524842711103403091,0.0,0.0,-2.41851306757e-07,1.0
1524842711139168024,0.0,0.0,-2.22213110286e-07,1.0
1524842711163248062,0.0,0.0,-2.1721453377e-07,1.0
1524842711183928966,0.0,0.0,-2.12092893928e-07,1.0
1524842711209122896,0.0,0.0,-1.97706993048e-07,1.0
1524842711239608049,0.0,0.0,-1.94023950973e-07,1.0
1524842711258594036,0.0,0.0,-1.90573471152e-07,1.0
1524842711287940979,0.0,0.0,-1.87568109455e-07,1.0
1524842711308106899,0.0,0.0,-1.80404386783e-07,1.0
1524842711334204912,0.0,0.0,-1.71077042661e-07,1.0
1524842711354450941,0.0,0.0,-1.68918402445e-07,1.0
1524842711385539054,0.0,0.0,-1.59922530269e-07,1.0
1524842711410708904,0.0,0.0,-1.48792886084e-07,1.0
1524842711432151079,0.0,0.0,-1.44203951007e-07,1.0
1524842711458359956,0.0,0.0,-1.3225738653e-07,1.0
1524842711490039110,0.0,0.0,-1.21552660005e-07,1.0
1524842711512273073,0.0,0.0,-1.18158014695e-07,1.0
1524842711538803100,0.0,0.0,-1.15566157598e-07,1.0
1524842711559205055,0.0,0.0,-1.11749204066e-07,1.0
1524842711588912963,0.0,0.0,-1.02586439271e-07,1.0
1524842711614969968,0.0,0.0,-9.72055154196e-08,1.0
1524842711635575056,0.0,0.0,-9.65997098608e-08,1.0
1524842711661412954,0.0,0.0,-8.705433004e-08,1.0
1524842711688106060,0.0,0.0,-8.67049160726e-08,1.0
1524842711714966058,0.0,0.0,-8.46227037056e-08,1.0
1524842711744865894,0.0,0.0,-8.23100375285e-08,1.0
1524842711770250082,0.0,0.0,-7.98197351258e-08,1.0
1524842711789385080,0.0,0.0,-7.78341393721e-08,1.0
1524842711828484058,0.0,0.0,-6.92192721115e-08,1.0
1524842711839991092,0.0,0.0,-6.73081934271e-08,1.0
1524842711868521928,0.0,0.0,-6.37035585948e-08,1.0
1524842711894808053,0.0,0.0,-6.14703679407e-08,1.0
1524842711917399883,0.0,0.0,-5.7691705378e-08,1.0
1524842711941628932,0.0,0.0,-5.50852345475e-08,1.0
1524842711967533111,0.0,0.0,-5.39497957085e-08,1.0
1524842711990343093,0.0,0.0,-5.28143568695e-08,1.0
1524842712024796962,0.0,0.0,-4.22892132426e-08,1.0
1524842712042574882,0.0,0.0,-3.35582236483e-08,1.0
1524842712073550939,0.0,0.0,-2.45928092099e-08,1.0
1524842712090992927,0.0,0.0,-2.03269488043e-08,1.0
1524842712114308118,0.0,0.0,-1.74742322556e-08,1.0
1524842712145893096,0.0,0.0,-1.08251790958e-08,1.0
1524842712166470050,0.0,0.0,-6.17730048926e-09,1.0
1524842712191893100,0.0,0.0,-1.7479705737e-09,1.0
1524842712215482950,0.0,0.0,5.99804622035e-10,1.0
1524842712250742912,0.0,0.0,1.70018945301e-08,1.0
1524842712266684055,0.0,0.0,2.46938511931e-08,1.0
1524842712290380954,0.0,0.0,2.84317508612e-08,1.0
1524842712322662115,0.0,0.0,3.82323785977e-08,1.0
1524842712345660924,0.0,0.0,5.6855769697e-08,1.0
1524842712369757890,0.0,0.0,6.10424120499e-08,1.0
1524842712399051904,0.0,0.0,6.83633056108e-08,1.0
1524842712428180932,0.0,0.0,8.48626527907e-08,1.0
1524842712440671920,0.0,0.0,8.88956890035e-08,1.0
1524842712478646993,0.0,0.0,9.99412354058e-08,1.0
1524842712496248006,0.0,0.0,1.20632724019e-07,1.0
1524842712524619102,0.0,0.0,1.24120352151e-07,1.0
1524842712541080951,0.0,0.0,1.26371604057e-07,1.0
1524842712576762914,0.0,0.0,1.40163451076e-07,1.0
1524842712591264009,0.0,0.0,1.44643806148e-07,1.0
1524842712622140884,0.0,0.0,1.58074055636e-07,1.0
1524842712644162893,0.0,0.0,1.60080584832e-07,1.0
1524842712676435947,0.0,0.0,1.710846955e-07,1.0
1524842712698596000,0.0,0.0,1.73426312315e-07,1.0
1524842712719499111,0.0,0.0,1.74225545495e-07,1.0
1524842712754915952,0.0,0.0,1.75891524927e-07,1.0
1524842712771096944,0.0,0.0,1.7826093317e-07,1.0
1524842712795588016,0.0,0.0,1.82529577378e-07,1.0
1524842712820357084,0.0,0.0,1.85629601819e-07,1.0
1524842712842569112,0.0,0.0,1.86930600711e-07,1.0
